OA,Mixed,Asian,Black,Other,White
E00000001,0.05,0.03,0.0,0.02,0.9
E00000003,0.04,0.1,0.01,0.02,0.83
E00000005,0.03,0.07,0.01,0.01,0.87
E00000007,0.02,0.16,0.0,0.05,0.78
E00000010,0.03,0.12,0.05,0.02,0.79
E00000012,0.02,0.1,0.05,0.02,0.81
E00000013,0.01,0.11,0.05,0.01,0.83
E00000014,0.03,0.1,0.05,0.02,0.81
E00000016,0.05,0.05,0.0,0.01,0.89
E00000017,0.05,0.06,0.0,0.0,0.88
E00000018,0.01,0.05,0.0,0.0,0.93
E00000019,0.04,0.06,0.01,0.01,0.87
E00000020,0.06,0.08,0.0,0.01,0.85
E00000021,0.02,0.09,0.01,0.0,0.87
E00000022,0.08,0.13,0.02,0.03,0.74
E00000023,0.04,0.13,0.01,0.02,0.8
E00000024,0.03,0.11,0.01,0.02,0.83
E00000025,0.03,0.07,0.01,0.01,0.89
E00000026,0.03,0.11,0.02,0.02,0.82
E00000027,0.03,0.11,0.03,0.02,0.82
E00000028,0.02,0.15,0.03,0.04,0.75
E00000029,0.06,0.25,0.03,0.07,0.59
E00000030,0.03,0.11,0.1,0.04,0.72
E00000031,0.12,0.13,0.04,0.08,0.63
E00000032,0.06,0.47,0.17,0.03,0.29
E00000035,0.04,0.16,0.01,0.04,0.77
E00000037,0.03,0.61,0.14,0.01,0.2
E00000038,0.02,0.66,0.04,0.02,0.27
E00000039,0.09,0.26,0.39,0.03,0.22
E00000040,0.03,0.36,0.26,0.01,0.34
E00000041,0.03,0.61,0.14,0.03,0.2
E00000042,0.05,0.27,0.2,0.0,0.48
E00000043,0.09,0.15,0.39,0.01,0.35
E00000045,0.08,0.26,0.3,0.01,0.35
E00000046,0.06,0.37,0.3,0.01,0.26
E00000048,0.06,0.16,0.35,0.04,0.38
E00000049,0.03,0.52,0.08,0.03,0.33
E00000050,0.04,0.28,0.38,0.03,0.27
E00000051,0.03,0.65,0.08,0.06,0.18
E00000052,0.04,0.3,0.23,0.02,0.4
E00000053,0.04,0.57,0.1,0.02,0.27
E00000054,0.04,0.57,0.15,0.01,0.24
E00000055,0.03,0.53,0.09,0.02,0.33
E00000056,0.03,0.3,0.37,0.05,0.25
E00000057,0.11,0.27,0.32,0.02,0.27
E00000059,0.02,0.37,0.26,0.0,0.34
E00000060,0.04,0.46,0.03,0.09,0.37
E00000061,0.04,0.27,0.24,0.06,0.39
E00000062,0.04,0.39,0.24,0.04,0.29
